id,title,genres,averageRating,numVotes,releaseYear
tt1533395,Life,Documentary,9.1,43369,2009
tt1877514,"The Vietnam War","Documentary, History, War",9.1,28859,2017
tt10530900,Gullak,"Comedy, Drama, Family",9.1,24367,2019
tt9471962,Halka,"Action, Crime, Drama",9.1,18346,2019
tt7450814,Koombiyo,"Crime, Drama, Thriller",9.1,18029,2017
tt4834232,"Critical Role","Adventure, Fantasy",9.1,13503,2015
tt13854248,"The Legend of Hanuman","Action, Adventure, Animation",9.1,12862,2021
tt7923710,"My Mister","Drama, Family",9.1,10480,2018
tt0386676,"The Office",Comedy,9,743161,2005
tt3032476,"Better Call Saul","Crime, Drama",9,686549,2015
tt11126994,Arcane,"Action, Adventure, Animation",9,293067,2021
tt0388629,"One Piece","Action, Adventure, Animation",9,266209,1999
tt2098220,"Hunter x Hunter","Action, Adventure, Animation",9,147110,2011
tt0103359,"Batman: The Animated Series","Action, Adventure, Animation",9,121427,1992
tt12004706,Panchayat,"Comedy, Drama",9,97903,2020
tt0052520,"The Twilight Zone","Drama, Fantasy, Horror",9,96269,1959
tt9432978,"Kota Factory","Comedy, Drama",9,85463,2019
tt10541088,"Clarkson's Farm","Comedy, Documentary, Reality-TV",9,65563,2021
tt0081912,"Only Fools and Horses",Comedy,9,57914,1981
tt7920978,Persona,"Crime, Drama, Mystery",9,48669,2018
tt14986406,"Bleach: Thousand-Year Blood War","Action, Adventure, Animation",9,44824,2022
tt21279678,"NCR Days",Drama,9,43912,2022
tt0296310,"The Blue Planet",Documentary,9,43443,2001
tt2092588,"Frozen Planet",Documentary,9,33516,2011
tt1806234,"Human Planet",Documentary,9,28108,2011
tt8595766,"Yeh Meri Family","Comedy, Drama, Family",9,26271,2018
tt0268093,Ramayan,"Adventure, Drama, Family",9,24674,1987
tt13675832,"As If",Comedy,9,24526,2021
tt4934214,Taskmaster,"Comedy, Game-Show",9,21425,2015
tt0098769,"The Civil War","Documentary, History, War",9,19124,1990
tt1508238,"Apocalypse: The Second World War","Documentary, History, War",9,14671,2009
tt5182866,"Reply 1988","Comedy, Drama, Family",9,13312,2015
tt3212600,Mahabharat,"Drama, History, War",9,12205,2013
tt0108778,Friends,"Comedy, Romance",8.9,1114688,1994
tt2356777,"True Detective","Crime, Drama, Mystery",8.9,675230,2014
tt2802850,Fargo,"Crime, Drama, Thriller",8.9,432043,2014
tt0877057,"Death Note","Animation, Crime, Drama",8.9,398651,2006
tt0098904,Seinfeld,Comedy,8.9,359525,1989
tt0303461,Firefly,"Adventure, Drama, Sci-Fi",8.9,285538,2002
tt1865718,"Gravity Falls","Adventure, Animation, Comedy",8.9,145462,2012
tt0213338,"Cowboy Bebop","Action, Adventure, Animation",8.9,145277,1998
tt0200276,"The West Wing",Drama,8.9,87928,1999
tt2297757,"Nathan for You","Comedy, Documentary",8.9,40243,2013
tt9735318,"The Beatles: Get Back","Biography, Documentary, Music",8.9,29334,2021
tt0092337,Dekalog,Drama,8.9,28492,1989
tt1909015,Undercover,"Action, Crime, Drama",8.9,27838,2011
tt22248376,"Frieren: Beyond Journey's End","Adventure, Animation, Drama",8.9,25627,2023
tt0158417,Mahabharat,"Action, Adventure, Drama",8.9,24006,1988
tt13868972,"Rocket Boys","Drama, History",8.9,18484,2022
tt1518542,"Sarabhai V/S Sarabhai",Comedy,8.9,18449,2004
tt2571774,Africa,Documentary,8.9,17395,2013
tt5851616,"Tash ma Tash","Comedy, Drama",8.9,10725,1992
tt11992526,Harga,Drama,8.9,10017,2021
tt10986410,"Ted Lasso","Comedy, Drama, Sport",8.8,371275,2020
tt7660850,Succession,"Comedy, Drama",8.8,293559,2018
tt0472954,"It's Always Sunny in Philadelphia",Comedy,8.8,258185,2005
tt0098936,"Twin Peaks","Crime, Drama, Mystery",8.8,220729,1990
tt3398228,"BoJack Horseman","Animation, Comedy, Drama",8.8,198524,2014
tt0193676,"Freaks and Geeks","Comedy, Drama",8.8,155748,1999
tt0214341,"Dragon Ball Z","Action, Adventure, Animation",8.8,153677,1996
tt0264235,"Curb Your Enthusiasm",Comedy,8.8,151669,2000
tt7137906,"When They See Us","Biography, Crime, Drama",8.8,142142,2019
tt14650074,Dhindora,"Comedy, Drama",8.8,123100,2021
tt0072500,"Fawlty Towers",Comedy,8.8,101769,1975
tt3530232,"Last Week Tonight with John Oliver","Comedy, News, Talk-Show",8.8,97276,2014
tt0112130,"Pride and Prejudice","Drama, Romance",8.8,94251,1995
tt0121220,"Dragon Ball Z","Action, Adventure, Animation",8.8,90652,1989
tt10233448,"Vinland Saga","Action, Adventure, Animation",8.8,83834,2019
tt0063929,"Monty Python's Flying Circus",Comedy,8.8,79831,1969
tt1910272,Steins;Gate,"Animation, Comedy, Drama",8.8,77368,2011
tt3718778,"Over the Garden Wall","Adventure, Animation, Comedy",8.8,75238,2014
tt0353049,"Chappelle's Show","Comedy, Music",8.8,73246,2003
tt0096548,"Blackadder Goes Forth","Comedy, War",8.8,57813,1989
tt15435876,"The Penguin","Crime, Drama",8.8,53097,2024
tt16026746,"X-Men '97","Action, Adventure, Animation",8.8,37148,2024
tt0081834,"Das Boot","Drama, War",8.8,33951,1985
tt1795096,"Behzat Ç: An Ankara Detective Story","Crime, Drama, Mystery",8.8,33513,2010
tt7927936,Flames,"Comedy, Drama, Romance",8.8,33050,2018
tt0074006,"I, Claudius","Biography, Drama, History",8.8,19830,1976
tt15295490,"Campus Diaries","Comedy, Drama, Romance",8.8,17358,2022
tt22727518,"Another Love","Crime, Drama, Romance",8.8,15918,2023
tt9566030,"Pew News","Comedy, News",8.8,14788,2018
tt7621364,"Black Pearl",Drama,8.8,13469,2017
tt6108262,"Black Sun","Crime, Drama, Thriller",8.8,12628,2017
tt13661118,"Not Me","Action, Crime, Romance",8.8,12202,2021
tt0481256,"Fighting Spirit","Action, Animation, Comedy",8.8,11362,2000
tt4574334,"Stranger Things","Drama, Fantasy, Horror",8.7,1388235,2016
tt1190634,"The Boys","Action, Comedy, Crime",8.7,732630,2019
tt2442560,"Peaky Blinders","Crime, Drama",8.7,679473,2013
tt2085059,"Black Mirror","Crime, Drama, Mystery",8.7,659451,2011
tt3581920,"The Last of Us","Action, Adventure, Drama",8.7,575424,2023
tt0412142,House,"Drama, Mystery",8.7,535295,2004
tt2707408,Narcos,"Biography, Crime, Drama",8.7,483354,2015
tt5753856,Dark,"Crime, Drama, Mystery",8.7,465403,2017
tt0096697,"The Simpsons","Animation, Comedy",8.7,444144,1989
tt0121955,"South Park","Animation, Comedy",8.7,413578,1997
tt0367279,"Arrested Development",Comedy,8.7,329229,2003
tt0804503,"Mad Men",Drama,8.7,267008,2007
tt4236770,Yellowstone,"Drama, Western",8.7,237463,2018
tt1606375,"Downton Abbey","Drama, Romance",8.7,229582,2010
tt11280740,Severance,"Drama, Mystery, Sci-Fi",8.7,226272,2022
tt6741278,Invincible,"Action, Adventure, Animation",8.7,220641,2021
tt5687612,Fleabag,"Comedy, Drama",8.7,214033,2016
tt4508902,"One Punch Man","Action, Animation, Comedy",8.7,193022,2015
tt0384766,Rome,"Action, Drama, Romance",8.7,189888,2005
tt0988824,"Naruto: Shippuden","Action, Adventure, Animation",8.7,182149,2007
tt0407362,"Battlestar Galactica","Action, Adventure, Drama",8.7,178720,2004
tt5555260,"This Is Us","Comedy, Drama, Romance",8.7,163129,2016
tt0248654,"Six Feet Under","Comedy, Drama",8.7,153707,2001
tt5788792,"The Marvelous Mrs. Maisel","Comedy, Drama",8.7,146579,2017
tt0092455,"Star Trek: The Next Generation","Action, Adventure, Drama",8.7,139804,1987
tt1628033,"Top Gear","Adventure, Sport, Talk-Show",8.7,129548,2002
tt13991232,1883,"Drama, Western",8.7,123526,2021
tt0118421,Oz,"Crime, Drama, Thriller",8.7,109133,1997
tt9544034,"The Family Man","Action, Comedy, Drama",8.7,101415,2019
tt0286486,"The Shield","Crime, Drama, Thriller",8.7,90250,2002
tt5712554,"The Grand Tour","Comedy, Sport, Talk-Show",8.7,87678,2016
tt0994314,"Code Geass","Action, Animation, Drama",8.7,84782,2006
tt13309742,"Blue Eye Samurai","Action, Adventure, Animation",8.7,79619,2023
tt0758745,"Friday Night Lights","Drama, Sport",8.7,73962,2006
tt2303687,"Line of Duty","Crime, Drama, Mystery",8.7,72721,2012
tt0387764,"Peep Show",Comedy,8.7,68146,2003
tt0318871,Berserk,"Action, Adventure, Animation",8.7,58884,1997
tt0434706,Monster,"Animation, Crime, Drama",8.7,50130,2004
tt10850932,"Crash Landing on You","Adventure, Comedy, Drama",8.7,45653,2019
tt0111958,"Father Ted",Comedy,8.7,44699,1995
tt3398540,Haikyu!!,"Animation, Comedy, Drama",8.7,39474,2014
tt1534360,Ezel,"Crime, Drama, Thriller",8.7,38626,2009
tt7472896,"Mr Inbetween","Crime, Drama",8.7,34846,2018
tt0459159,"The Thick of It",Comedy,8.7,26810,2005
tt0096639,"Lonesome Dove","Adventure, Drama, Western",8.7,26722,1989
tt0086661,"The Adventures of Sherlock Holmes","Crime, Drama, Mystery",8.7,24739,1984
tt10332508,Primal,"Action, Adventure, Animation",8.7,22496,2019
tt6025022,"Justice League Unlimited","Action, Adventure, Animation",8.7,21401,2004
tt20859920,"Alchemy of Souls","Action, Drama, Fantasy",8.7,19890,2022
tt0080306,"Yes Minister",Comedy,8.7,16952,1980
tt0988818,Gintama,"Action, Animation, Comedy",8.7,16458,2005
tt4063800,"The Bureau","Drama, Thriller",8.7,15047,2015
tt0106028,"Homicide: Life on the Street","Crime, Drama, Mystery",8.7,15000,1993
tt11007006,Azize,Drama,8.7,14252,2019
tt10801534,"How to with John Wilson","Comedy, Documentary",8.7,14133,2020
tt0090509,"The Return of Sherlock Holmes","Crime, Drama, Mystery",8.7,13691,1986
tt0229889,"El Chavo del Ocho","Comedy, Family",8.7,13527,1972
tt6111552,"Content Cop","Comedy, Crime, Talk-Show",8.7,12619,2015
tt4269716,Umbre,"Crime, Drama, Thriller",8.7,11683,2014
tt7094780,"Mr. Sunshine","Action, Drama, Romance",8.7,11048,2018
tt10554898,"The Untamed","Action, Adventure, Drama",8.7,10623,2019
tt0773262,Dexter,"Crime, Drama, Mystery",8.6,800500,2006
tt8111088,"The Mandalorian","Action, Adventure, Fantasy",8.6,604925,2019
tt1856010,"House of Cards",Drama,8.6,538002,2013
tt3322312,Daredevil,"Action, Crime, Drama",8.6,484975,2015
tt5290382,Mindhunter,"Crime, Drama, Mystery",8.6,351749,2017
tt1124373,"Sons of Anarchy","Crime, Drama, Thriller",8.6,331457,2008
tt1266020,"Parks and Recreation",Comedy,8.6,295217,2009
tt4786824,"The Crown","Biography, Drama, History",8.6,263532,2016
tt0106179,"The X-Files","Adventure, Crime, Drama",8.6,256042,1993
tt14452776,"The Bear","Comedy, Drama",8.6,251347,2022
tt0979432,"Boardwalk Empire","Crime, Drama",8.6,206761,2010
tt2788316,Shogun,"Adventure, Drama, History",8.6,184313,2024
tt9335498,"Demon Slayer: Kimetsu no Yaiba","Action, Adventure, Animation",8.6,168722,2019
tt1486217,Archer,"Action, Animation, Comedy",8.6,168678,2009
tt0096657,"Mr. Bean","Comedy, Family",8.6,137584,1990
tt1870479,"The Newsroom",Drama,8.6,127149,2012
tt1489428,Justified,"Action, Crime, Drama",8.6,121768,2010
tt0348914,Deadwood,"Crime, Drama, History",8.6,120347,2004
tt1305826,"Adventure Time","Action, Adventure, Animation",8.6,117309,2010
tt7908628,"What We Do in the Shadows","Comedy, Fantasy, Horror",8.6,109248,2019
tt4288182,Atlanta,"Comedy, Drama, Music",8.6,91017,2016
tt9174558,Dopesick,Drama,8.6,82266,2021
tt1733785,"The Bridge","Crime, Mystery, Thriller",8.6,78486,2011
tt5421602,"Anne with an E","Drama, Family",8.6,69786,2017
tt4299972,"The Jinx: The Life and Deaths of Robert Durst","Biography, Crime, Documentary",8.6,54397,2015
tt0094525,Poirot,"Crime, Drama, Mystery",8.6,53664,1989
tt0088484,"Blackadder II",Comedy,8.6,50714,1986
tt5897304,"Mob Psycho 100","Action, Animation, Comedy",8.6,49751,2016
tt0092324,"Blackadder the Third",Comedy,8.6,47791,1987
tt2100976,"Impractical Jokers","Comedy, Reality-TV",8.6,47141,2011
tt1641384,"Young Justice","Action, Adventure, Animation",8.6,46761,2010
tt2049116,Gomorrah,"Crime, Drama, Thriller",8.6,45623,2014
tt13111040,"The Offer","Biography, Crime, Drama",8.6,42621,2022
tt5288312,Skam,"Drama, Romance",8.6,39629,2015
tt11854694,"Special OPS","Action, Crime, Thriller",8.6,38178,2020
tt9140342,"It's a Sin",Drama,8.6,37889,2021
tt12451520,"It's Okay to Not Be Okay","Comedy, Drama, Romance",8.6,37511,2020
tt0053488,"The Bugs Bunny Show","Animation, Comedy",8.6,36170,1960
tt0417349,"North & South","Drama, Romance",8.6,35643,2004
tt2701582,Endeavour,"Crime, Drama, Mystery",8.6,34544,2012
tt0380136,QI,"Comedy, Game-Show",8.6,34030,2003
tt7562112,Pose,Drama,8.6,33723,2018
tt1983079,"Call the Midwife","Drama, History",8.6,32486,2012
tt4647692,Letterkenny,Comedy,8.6,30877,2016
tt5994364,"Guardian: The Lonely and Great God","Comedy, Drama, Fantasy",8.6,30308,2016
tt20869502,"Extraordinary Attorney Woo",Drama,8.6,29516,2022
tt0417373,"The Venture Bros.","Action, Adventure, Animation",8.6,28583,2003
tt4156586,"Permanent Roommates","Comedy, Romance",8.6,26505,2014
tt0094517,"Mystery Science Theater 3000","Comedy, Sci-Fi",8.6,26158,1988
tt2433738,Wentworth,"Crime, Drama, Thriller",8.6,25348,2013
tt21056886,"Scavengers Reign","Adventure, Animation, Drama",8.6,23830,2023
tt4082744,Detectorists,Comedy,8.6,22354,2014
tt2244495,"The Eric Andre Show","Comedy, Talk-Show",8.6,22344,2012
tt0129690,"I'm Alan Partridge",Comedy,8.6,22325,1997
tt0421291,"Avrupa Yakasi",Comedy,8.6,21884,2004
tt28857177,"Lucky Guy","Comedy, Drama, Fantasy",8.6,21509,2023
tt2311418,"Isler Güçler",Comedy,8.6,21488,2012
tt8050756,"The Owl House","Action, Adventure, Animation",8.6,21067,2020
tt7278862,"My Brilliant Friend",Drama,8.6,19096,2018
tt0310455,"Foyle's War","Crime, Drama, Mystery",8.6,18864,2002
tt1513168,"Through the Wormhole",Documentary,8.6,18566,2010
tt10590066,"All Creatures Great & Small","Comedy, Drama",8.6,18090,2020
tt9814458,"Bandish Bandits","Drama, Music, Romance",8.6,17875,2020
tt3671754,"Kardes Payi",Comedy,8.6,17447,2014
tt0203082,"Rurouni Kenshin: Trust and Betrayal","Action, Adventure, Animation",8.6,16609,1999
tt0403778,"Long Way Round","Adventure, Documentary",8.6,15539,2004
tt17513352,"Twenty Five Twenty One","Drama, Romance",8.6,15470,2022
tt15614372,"Tear Along the Dotted Line","Animation, Comedy, Drama",8.6,15166,2021
tt6385540,Hilda,"Adventure, Animation, Drama",8.6,14489,2018
tt0120570,"From the Earth to the Moon","Action, Drama, History",8.6,13487,1998
tt1877368,"The Great British Baking Show","Game-Show, Reality-TV",8.6,13300,2010
tt0086831,"Yes, Prime Minister",Comedy,8.6,13279,1986
tt13634792,Mouse,"Action, Crime, Mystery",8.6,12465,2021
tt5320412,"Moon Lovers: Scarlet Heart Ryeo","Action, Drama, Fantasy",8.6,12315,2016
tt13400006,"Mr. Queen","Comedy, Fantasy, Romance",8.6,11772,2020
tt0118273,"Brass Eye",Comedy,8.6,11759,1997
tt9103932,"Greatest Events of WWII in Colour","Documentary, History, War",8.6,11375,2019
tt8254348,ImMATURE,"Comedy, Drama, Romance",8.6,10473,2019
tt31862849,"Very Parivarik",Comedy,8.6,10279,2024
tt0426719,"Hunter x Hunter","Action, Adventure, Animation",8.6,10208,1999
tt4580372,Merlí,"Comedy, Drama, Romance",8.6,10202,2015
tt9304350,"Fruits Basket","Animation, Comedy, Drama",8.6,10133,2019
tt2306299,Vikings,"Action, Adventure, Drama",8.5,600768,2013
tt10048342,"The Queen's Gambit",Drama,8.5,584091,2020
tt0475784,Westworld,"Drama, Mystery, Sci-Fi",8.5,541377,2016
tt1442437,"Modern Family","Comedy, Drama, Romance",8.5,500241,2009
tt4158110,"Mr. Robot","Crime, Drama, Thriller",8.5,429137,2015
tt5071412,Ozark,"Crime, Drama, Thriller",8.5,357866,2017
tt6763664,"The Haunting of Hill House","Drama, Horror, Mystery",8.5,299995,2018
tt1439629,Community,Comedy,8.5,299074,2009
tt1586680,Shameless,"Comedy, Drama",8.5,298977,2011
tt2243973,Hannibal,"Crime, Drama, Horror",8.5,283645,2013
tt0149460,Futurama,"Adventure, Animation, Comedy",8.5,266437,1999
tt1442449,Spartacus,"Action, Adventure, Biography",8.5,261381,2010
tt0436992,"Doctor Who","Adventure, Drama, Sci-Fi",8.5,252409,2005
tt1839578,"Person of Interest","Action, Crime, Drama",8.5,193386,2011
tt3230854,"The Expanse","Drama, Mystery, Sci-Fi",8.5,177359,2015
tt4179452,"The Last Kingdom","Action, Drama, History",8.5,172210,2015
tt2575988,"Silicon Valley",Comedy,8.5,169814,2014
tt0487831,"The IT Crowd",Comedy,8.5,167347,2006
tt3526078,"Schitt's Creek",Comedy,8.5,152245,2015
tt1758429,"Spartacus: Gods of the Arena","Action, Adventure, Biography",8.5,147797,2011
tt12343534,"Jujutsu Kaisen","Action, Adventure, Animation",8.5,134225,2020
tt0290978,"The Office","Comedy, Drama",8.5,125531,2001
tt5189670,"Making a Murderer","Crime, Documentary",8.5,104303,2015
tt6077448,"Sacred Games","Action, Crime, Drama",8.5,94224,2018
tt0112159,"Neon Genesis Evangelion","Action, Animation, Drama",8.5,90828,1995
tt3502248,Bosch,"Crime, Drama",8.5,86017,2014
tt10638036,Heartstopper,"Drama, Romance",8.5,83023,2022
tt1492966,Louie,"Comedy, Drama",8.5,82925,2010
tt0314979,"Battlestar Galactica","Action, Adventure, Drama",8.5,81530,2003
tt0421357,"Fullmetal Alchemist","Action, Adventure, Animation",8.5,79619,2003
tt4093826,"Twin Peaks","Crime, Drama, Horror",8.5,78327,2017
tt0088509,"Dragon Ball","Action, Adventure, Animation",8.5,68860,1986
tt11912196,"Asur: Welcome to Your Dark Side","Crime, Drama, Mystery",8.5,67154,2020
tt0863046,"Flight of the Conchords","Comedy, Music, Musical",8.5,66975,2007
tt0280249,"Dragon Ball","Action, Adventure, Animation",8.5,66789,1995
tt3428912,"Happy Valley","Crime, Drama, Thriller",8.5,66765,2014
tt0068098,M*A*S*H,"Comedy, Drama, War",8.5,65307,1972
tt7120662,"Derry Girls",Comedy,8.5,64446,2018
tt1710308,"Regular Show","Action, Adventure, Animation",8.5,61894,2010
tt0278238,"Samurai Jack","Action, Adventure, Animation",8.5,61315,2001
tt0187664,Spaced,Comedy,8.5,58463,1999
tt0423731,"Samurai Champloo","Action, Adventure, Animation",8.5,57258,2004
tt2937900,"The Knick","Drama, History",8.5,53400,2014
tt0275137,"Justice League","Action, Adventure, Animation",8.5,53032,2001
tt8289930,"Formula 1: Drive to Survive","Documentary, Sport",8.5,52856,2019
tt0290988,"Trailer Park Boys","Comedy, Crime",8.5,52338,2001
tt0402711,"Boston Legal","Comedy, Crime, Drama",8.5,50877,2004
tt0237123,Coupling,"Comedy, Romance",8.5,48257,2000
tt0163507,"Whose Line Is It Anyway?","Comedy, Game-Show",8.5,47046,1998
tt3895150,"Your Lie in April","Animation, Comedy, Drama",8.5,40197,2014
tt2359704,"JoJo's Bizarre Adventure","Action, Adventure, Animation",8.5,38257,2012
tt0373732,"The Boondocks","Action, Animation, Comedy",8.5,36975,2005
tt12714854,"Mumbai Diaries","Drama, Thriller",8.5,30875,2021
tt1526318,Borgen,Drama,8.5,30578,2010
tt11301642,Ethos,"Drama, Thriller",8.5,30104,2020
tt1299368,Southland,"Crime, Drama, Thriller",8.5,29578,2009
tt0043208,"I Love Lucy",Comedy,8.5,29460,1951
tt10802170,"The Rehearsal","Comedy, Documentary",8.5,27227,2022
tt9398466,"Delhi Crime","Crime, Drama",8.5,26907,2019
tt0075520,"Jesus of Nazareth","Biography, Drama, History",8.5,25395,1977
tt16296870,"The Railway Men","Drama, History, Thriller",8.5,25293,2023
tt1353056,"RuPaul's Drag Race","Game-Show, Reality-TV",8.5,23947,2009
tt0088727,"Anne of Green Gables","Drama, Family",8.5,23180,1985
tt0262985,"Queer as Folk","Drama, Romance",8.5,22844,2000
tt9522300,"Kaguya-sama: Love is War","Animation, Comedy, Romance",8.5,22003,2019
tt11407524,"Hostel Daze","Comedy, Drama",8.5,21521,2019
tt2674806,"Inside No. 9","Comedy, Crime, Drama",8.5,21449,2014
tt0346314,"Ghost in the Shell: Stand Alone Complex","Action, Animation, Crime",8.5,21369,2002
tt7259746,"Queer Eye",Reality-TV,8.5,21364,2018
tt0182629,"Rurouni Kenshin","Action, Adventure, Animation",8.5,20920,1996
tt6005644,"TVF Tripling","Comedy, Drama",8.5,20759,2016
tt1094229,Heartland,"Drama, Family",8.5,20685,2007
tt0397150,"Garth Marenghi's Darkplace","Comedy, Fantasy, Horror",8.5,20523,2004
tt3673794,Kingdom,"Drama, Sport",8.5,20038,2014
tt2155025,"Please Like Me","Comedy, Drama, Romance",8.5,19992,2013
tt0047708,"Alfred Hitchcock Presents","Crime, Drama, Mystery",8.5,19644,1955
tt12074628,"Smiling Friends","Animation, Comedy, Short",8.5,19536,2020
tt0493331,"Barareh Nights",Comedy,8.5,18720,2005
tt5425186,"Horace and Pete","Comedy, Drama",8.5,17764,2016
tt0070644,"Scenes from a Marriage",Drama,8.5,17435,1973
tt4295140,"Chef's Table","Biography, Documentary",8.5,17278,2015
tt8317568,"Broken But Beautiful","Drama, Romance",8.5,17228,2018
tt0185133,"Yu Yu Hakusho: Ghost Files","Action, Adventure, Animation",8.5,16644,1992
tt1230180,"The Angry Video Game Nerd","Action, Comedy, Sci-Fi",8.5,16011,2004
tt0131179,"Detective Conan","Action, Animation, Comedy",8.5,15945,1996
tt6958022,"The Defiant Ones","Biography, Crime, Documentary",8.5,15787,2017
tt11691684,"Flower of Evil","Crime, Mystery, Romance",8.5,15377,2020
tt0061287,"The Prisoner","Drama, Mystery, Sci-Fi",8.5,15351,1967
tt0934320,"Summer Heights High","Comedy, Drama, Family",8.5,15261,2007
tt0098825,"House of Cards",Drama,8.5,15260,1990
tt0807832,Mushi-Shi,"Animation, Drama, Fantasy",8.5,15010,2005
tt26225038,"Death's Game","Drama, Fantasy",8.5,14951,2023
tt22185582,Sixer,"Drama, Sport",8.5,14133,2022
tt27867155,"Mr Bates vs. The Post Office","Biography, Drama",8.5,12840,2024
tt0315008,"Great Teacher Onizuka","Animation, Comedy, Drama",8.5,12133,1999
tt0161952,"Saint Seiya: Knights of the Zodiac","Action, Adventure, Animation",8.5,11539,1986
tt12369754,Staged,"Comedy, Drama",8.5,10703,2020
tt0062550,"The Bugs Bunny/Road Runner Hour","Animation, Comedy",8.5,10352,1968
tt11052470,"Move to Heaven",Drama,8.5,10233,2021
tt2301351,"RuPaul's Drag Race All Stars","Game-Show, Reality-TV",8.5,10172,2012
tt1632701,Suits,"Comedy, Drama",8.4,498008,2011
tt0460681,Supernatural,"Drama, Fantasy, Horror",8.4,496685,2005
tt2467372,"Brooklyn Nine-Nine","Comedy, Crime",8.4,379709,2013
tt0285403,Scrubs,"Comedy, Drama",8.4,273934,2001
tt5675620,"The Punisher","Action, Crime, Drama",8.4,272883,2017
tt12637874,Fallout,"Action, Adventure, Drama",8.4,267170,2024
tt5834204,"The Handmaid's Tale","Drama, Sci-Fi, Thriller",8.4,264487,2017
tt1119644,Fringe,"Drama, Mystery, Sci-Fi",8.4,261053,2008
tt3920596,"Big Little Lies","Crime, Drama, Mystery",8.4,230720,2017
tt7221388,"Cobra Kai","Action, Comedy, Drama",8.4,213533,2018
tt9561862,"Love, Death & Robots","Action, Adventure, Animation",8.4,204736,2019
tt0285331,24,"Action, Crime, Drama",8.4,199430,2001
tt10155688,"Mare of Easttown","Crime, Drama, Mystery",8.4,196857,2021
tt3006802,Outlander,"Adventure, Drama, Fantasy",8.4,183545,2014
tt0387199,Entourage,"Comedy, Drama",8.4,178655,2004
tt9253284,Andor,"Action, Adventure, Drama",8.4,178087,2022
tt2401256,"The Night Of","Crime, Drama, Mystery",8.4,177247,2016
tt7657124,"The Heroes","Animation, Drama, History",8.4,168600,2008
tt8398600,"After Life","Comedy, Drama",8.4,157087,2019
tt1474684,Luther,"Crime, Drama, Mystery",8.4,156732,2010
tt0409591,Naruto,"Action, Adventure, Animation",8.4,136219,2002
tt2249364,Broadchurch,"Crime, Drama, Mystery",8.4,130875,2013
tt2017109,Banshee,"Action, Crime, Drama",8.4,130113,2013
tt0458290,"Star Wars: The Clone Wars","Action, Adventure, Animation",8.4,126179,2008
tt2149175,"The Americans","Crime, Drama, Mystery",8.4,114317,2013
tt0491738,Psych,"Comedy, Crime, Mystery",8.4,112537,2006
tt0118480,"Stargate SG-1","Action, Adventure, Drama",8.4,103216,1997
tt2788432,"American Crime Story","Biography, Crime, Drama",8.4,100015,2016
tt9059760,"Normal People","Drama, Romance",8.4,97778,2020
tt1220617,"The Inbetweeners",Comedy,8.4,96183,2008
tt0060028,"Star Trek","Action, Adventure, Sci-Fi",8.4,94993,1966
tt6473300,Mirzapur,"Action, Crime, Drama",8.4,87882,2018
tt1442462,"The Good Wife","Crime, Drama, Mystery",8.4,84509,2009
tt4189022,"Ash vs Evil Dead","Action, Comedy, Horror",8.4,81450,2015
tt0412253,"Veronica Mars","Crime, Drama, Mystery",8.4,79275,2004
tt1759761,Veep,Comedy,8.4,66125,2012
